,a_user_id,b_user_id
3384,22,23
3385,22,23
3388,23,2705
3391,23,2705
3395,23,2752
3399,23,2751
3405,23,2705
3407,23,2705
3410,23,2752
3414,23,2705
3416,23,2705
3419,23,2750
3423,23,2705
3425,23,2705
3428,23,2752
3432,22,23
3435,22,23
3439,23,2706
3443,23,2718
3448,23,2718
3451,23,2718
3455,23,2710
3459,23,648
3464,22,23
3467,22,23
3471,23,2705
3475,23,2707
3480,22,23
3482,22,23
3485,23,1228
3489,23,1344
3490,23,1344
3493,23,2707
3494,23,2707
3497,22,23
3500,22,23
3504,23,2707
3508,23,2729
3513,22,23
3516,22,23
3520,23,2705
3524,23,2707
3529,22,23
3532,22,23
3536,23,2705
3540,23,2707
3545,22,23
3548,22,23
3552,23,2705
3556,23,2707
3561,22,23
3564,22,23
3568,23,2705
3572,23,2707
3577,23,1228
3579,23,1228
3582,23,2750
3586,22,23
3589,22,23
3593,23,2705
3597,23,2706
3602,23,2713
3603,23,2713
3606,22,23
3608,22,23
3611,23,2706
3615,23,2751
3616,23,2751
3619,22,23
3621,22,23
3624,23,2705
3628,23,2705
3630,23,2705
3633,23,2707
3637,22,23
3638,22,23
3641,23,1045
3642,23,1045
3645,22,23
3648,22,23
3652,23,2705
3656,23,2707
3661,22,23
3663,22,23
3666,23,2705
3670,23,1228
3673,23,1228
3677,23,2705
3681,23,2750
3686,23,2739
3687,23,2739
3690,22,23
3693,22,23
3697,23,2705
3701,23,2706
3706,23,2519
3707,23,2519
3710,23,2751
3711,23,2751
3714,22,23
3716,22,23
3719,23,2710
3723,23,2707
3725,23,2707
3728,23,1045
3732,22,23
3735,22,23
3739,23,2705
3743,23,2706
3748,23,2739
3749,23,2739
3752,22,23
3753,22,23
3756,23,2751
3757,23,2751
3760,23,1045
3761,23,1045
3764,23,1228
3766,23,1228
3769,23,2750
3773,4,23
3775,4,23
3778,23,1228
3782,23,1228
3784,23,1228
3787,23,2750
3791,23,2745
3793,23,2745
3796,23,2726
3800,23,1045
3801,23,1045
3804,23,1228
3806,23,1228
3809,23,2750
3813,23,2751
3814,23,2751
3817,23,1045
3818,23,1045
3821,23,1228
3823,23,1228
3826,23,2750
3830,22,23
3831,22,23
3834,23,1228
3836,23,1228
